code,label,parent
train_station,Train Station,rail_facility_or_service
furniture_assembly,Furniture Assembly,home_service
camera_and_photography_store,Camera And Photography Store,electronics_store
dialysis_clinic,Dialysis Clinic,specialized_medical_facility
personal_or_beauty_service,Personal Or Beauty Service,lifestyle_services
wellness_service,Wellness Service,lifestyle_services
bubble_tea_shop,Bubble Tea Shop,non_alcoholic_beverage_venue
home_decor_store,Home Decor Store,hardware_home_and_garden_store
hearing_aid_store,Hearing Aid Store,medical_supply_store
pulmonology,Pulmonology,specialized_health_care
military_site,Military Site,community_and_government
playground,Playground,park
reproductive_perinatal_and_womens_care,Reproductive Perinatal And Womens Care,outpatient_care_facility
fashion_and_apparel_store,Fashion And Apparel Store,shopping
second_hand_clothing_store,Second Hand Clothing Store,second_hand_store
hospice,Hospice,medical_service
janitorial_service,Janitorial Service,cleaning_service
race_track,Race Track,sport_or_fitness_facility
recycling_center,Recycling Center,home_service
rv_park,Rv Park,lodging
audiology,Audiology,ear_nose_and_throat
chemical_plant,Chemical Plant,b2b_industrial_and_machine_service
disability_services_and_support_organization,Disability Services And Support Organization,social_or_community_service
handyman,Handyman,home_service
bridge,Bridge,built_feature
dog_trainer,Dog Trainer,pet_training
endocrinology,Endocrinology,specialized_health_care
national_park,National Park,park
vietnamese_restaurant,Vietnamese Restaurant,southeast_asian_restaurant
b2b_marketing_consultant,B2b Marketing Consultant,b2b_advertising_and_marketing_service
boat_dealer,Boat Dealer,vehicle_dealer
child_care_and_day_care,Child Care And Day Care,family_service
condominium,Condominium,housing_or_property_service
fire_and_water_damage_restoration,Fire And Water Damage Restoration,damage_restoration
private_association,Private Association,corporate_or_business_office
speech_therapy,Speech Therapy,physical_medicine_and_rehabilitation
glass_and_mirror_sales_service,Glass And Mirror Sales Service,home_service
ambulance_or_ems_service,Ambulance Or Ems Service,emergency_or_urgent_care_facility
flooring_contractor,Flooring Contractor,contractor
buffet_restaurant,Buffet Restaurant,restaurant
chicken_wings_restaurant,Chicken Wings Restaurant,meat_restaurant
metal_supplier,Metal Supplier,supplier_or_distributor
rehabilitation_center,Rehabilitation Center,physical_medicine_and_rehabilitation
gymnastics_center,Gymnastics Center,sport_or_fitness_facility
assisted_living_facility,Assisted Living Facility,senior_living_facility
bankruptcy_law,Bankruptcy Law,attorney_or_law_firm
department_of_motor_vehicles,Department Of Motor Vehicles,government_department
hunting_and_fishing_store,Hunting And Fishing Store,sporting_goods_store
septic_service,Septic Service,public_utility
lodge,Lodge,lodging
recreational_vehicle_dealer,Recreational Vehicle Dealer,vehicle_dealer
korean_restaurant,Korean Restaurant,east_asian_restaurant
psychic_advising,Psychic Advising,spiritual_advising
water_utility_provider,Water Utility Provider,public_utility
computer_store,Computer Store,electronics_store
lingerie_store,Lingerie Store,clothing_store
beer_wine_spirits_store,Beer Wine Spirits Store,food_and_beverage_store
cannabis_clinic,Cannabis Clinic,medical_cannabis
complementary_and_alternative_medicine,Complementary And Alternative Medicine,outpatient_care_facility
housing_authority,Housing Authority,social_or_community_service
dog_park,Dog Park,park
outlet_store,Outlet Store,specialty_store
health_coaching,Health Coaching,wellness_service
jewish_place_of_worship,Jewish Place Of Worship,place_of_worship
laboratory,Laboratory,technical_service
tennis_court,Tennis Court,sport_court
sports_medicine,Sports Medicine,specialized_health_care
urgent_care_clinic,Urgent Care Clinic,emergency_or_urgent_care_facility
wedding_planning,Wedding Planning,event_or_party_service
mobile_phone_accessory_store,Mobile Phone Accessory Store,electronics_store
pet_breeder,Pet Breeder,animal_or_pet_service
medical_research_institute,Medical Research Institute,research_institute
gastropub,Gastropub,casual_eatery
bowling_alley,Bowling Alley,sport_or_fitness_facility
emergency_department,Emergency Department,emergency_or_urgent_care_facility
frozen_yogurt_shop,Frozen Yogurt Shop,dessert_shop
motorcycle_repair,Motorcycle Repair,motorcycle_service
music_and_dvd_store,Music And Dvd Store,books_music_and_video_store
clothing_rental,Clothing Rental,rental_service
hardware_home_and_garden_store,Hardware Home And Garden Store,specialty_store
sportswear_store,Sportswear Store,sporting_goods_store
adult_entertainment_venue,Adult Entertainment Venue,nightlife_venue
eyelash_service,Eyelash Service,personal_or_beauty_service
caribbean_restaurant,Caribbean Restaurant,latin_american_restaurant
lumber_store,Lumber Store,building_supply_store
fabric_store,Fabric Store,arts_crafts_and_hobby_store
wine_bar,Wine Bar,bar
energy_company,Energy Company,corporate_or_business_office
t_shirt_store,T Shirt Store,clothing_store
airline,Airline,air_transport_facility_or_service
life_insurance,Life Insurance,insurance_agency
hair_removal,Hair Removal,personal_or_beauty_service
hot_dog_restaurant,Hot Dog Restaurant,meat_restaurant
telecommunications_service,Telecommunications Service,services_and_business
boat_service,Boat Service,vehicle_service
paint_store,Paint Store,hardware_home_and_garden_store
winery,Winery,alcoholic_beverage_venue
fairgrounds,Fairgrounds,festival_venue
food_bank,Food Bank,social_or_community_service
immigration_law,Immigration Law,attorney_or_law_firm
land_surveying,Land Surveying,real_estate_service
occupational_therapy,Occupational Therapy,physical_medicine_and_rehabilitation
addiction_rehabilitation_center,Addiction Rehabilitation Center,rehabilitation_center
political_organization,Political Organization,civic_organization
theatrical_production,Theatrical Production,media_service
cleaning_service,Cleaning Service,professional_service
ear_nose_and_throat,Ear Nose And Throat,specialized_health_care
home_security,Home Security,home_service
pet_sitting,Pet Sitting,pet_care_service
cannabis_dispensary,Cannabis Dispensary,smoke_and_vape_store
internet_marketing_service,Internet Marketing Service,professional_service
kitchen_and_bath_store,Kitchen And Bath Store,hardware_home_and_garden_store
architect,Architect,design_service
electrical_supply_store,Electrical Supply Store,hardware_home_and_garden_store
tax_office,Tax Office,government_office
taxi_service,Taxi Service,taxi_or_ride_share_service
b2b_water_treatment_service,B2b Water Treatment Service,b2b_environmental_service
endodontics,Endodontics,dental_clinic
mover,Mover,home_service
agricultural_service,Agricultural Service,services_and_business
appraisal_service,Appraisal Service,financial_service
greek_restaurant,Greek Restaurant,mediterranean_restaurant
jamaican_restaurant,Jamaican Restaurant,caribbean_restaurant
gutter_service,Gutter Service,home_service
hair_extensions,Hair Extensions,hair_replacement
auto_restoration_service,Auto Restoration Service,automotive_service
hot_tub_and_pool_store,Hot Tub And Pool Store,hardware_home_and_garden_store
print_media,Print Media,media_service
bus_station,Bus Station,public_transit_facility_or_service
comic_books_store,Comic Books Store,bookstore
laundry_service,Laundry Service,services_and_business
windows_installation,Windows Installation,home_service
electric_utility_provider,Electric Utility Provider,public_utility
granite_supplier,Granite Supplier,supplier_or_distributor
audio_visual_equipment_store,Audio Visual Equipment Store,electronics_store
infectious_disease,Infectious Disease,internal_medicine
lawn_service,Lawn Service,landscaping
uniform_store,Uniform Store,clothing_store
b2b_oil_and_gas,B2b Oil And Gas,b2b_energy_and_utility_service
boot_camp,Boot Camp,fitness_studio
nephrology,Nephrology,specialized_health_care
soccer_field,Soccer Field,sport_field
allergy_and_immunology,Allergy And Immunology,internal_medicine
sport_or_recreation_club,Sport Or Recreation Club,sports_and_recreation
tea_room,Tea Room,non_alcoholic_beverage_venue
